## cheatsheet @quick @reference

First lines | gg
Last lines  | G
normal mode	| ESC
toggle case 	| ~
goto mark 	| `
external filter | !
play macro 	| @
prev ident	| #
eol		      | $
bol         | 0
goto match	| %
"soft" bol	| ^
repeat 		| &
next ident	| *
begins sentance | (
end sentance	| )
"soft" bol down | _
next line	| +
ex mode		| Q
record macro	| q
next WORD	| W
next word	| w
"back" find char| F
find char	| f
paste before	| p
paste after	| P
goto line	| G
extra cmd	| g
join lines	| J
down		| j
screen bottom 	| L
undo line	| U
undo 		| u
yank line	| Y
ex cmd line	| :
repeat t/T/f/F	| ;
begin paragraph | {
end paragraph	| }
begin [		| [
end ]		| ]
Append at eol 	| A
append		| a
Replace mode	| R
replace char	| r
subst line	| S
subst char	| s
back till	| T
till		| t
delete to eol	| D
delete 		| d
screen top	| H
prev(find)	| N
next(find)	| n
end WORD	| E
end word	| e
Insert at bol	| I
insert mode	| i
open above	| O
open below	| o
reg spec	| "
goto mk bol	| '
bol/goto col	| |
leader 		| (\) SPACE
quit		| Z
extra cmds 	| z
back space	| X
delete char	| x
change to eol	| C
change		| c
virtual lines	| V
virtual mode	| v
help		| K
k		| up
screen mid	| M
set mark	| m
un indent	| <
reverse t/T/f/F | ,
indent		| >
repeat cmd	| .
find previous	| ?
find		| /
redo		| CTRL-R
Page up		| CTRL-F
Page down	| CTRL-B
Scroll up	| CTRL-E
Scroll down	| CTRL-Y
Visual block	| CTRL-v
buf next      | ]b
buf previous  | [b

# Potential
m! m( m) m= m{ m} m; m: m, m. m/ m? m<CR> m<Space> m<BS>



